;object_name;chain;object_type;address;number;street;coord;district
6082;комбинат питания ран;нет;ресторан;город москва, ленинский проспект, дом 32а;89;ленинский проспект;37.577561 55.71057;Гагаринский район
6085;черемушки кафе при фок;нет;кафе;город москва, профсоюзная улица, дом 62, корпус 5;10;профсоюзная улица;37.547109 55.668615;Обручевский район
6097;макдоналдс;да;предприятие быстрого обслуживания;город москва, профсоюзная улица, дом 56;40;профсоюзная улица;37.55248 55.670021;Обручевский район
6098;пивной двор;нет;ресторан;город москва, профсоюзная улица, дом 56;80;профсоюзная улица;37.55248 55.670021;Обручевский район
6099;пиццерия;нет;кафе;город москва, профсоюзная улица, дом 56;20;профсоюзная улица;37.55248 55.670021;Обручевский район
6100;латте;нет;кафе;город москва, профсоюзная улица, дом 56;86;профсоюзная улица;37.55248 55.670021;Обручевский район
6101;домино'с пицца;да;кафе;город москва, профсоюзная улица, дом 56;50;профсоюзная улица;37.55248 55.670021;Обручевский район
6102;кафе теремок;да;предприятие быстрого обслуживания;город москва, профсоюзная улица, дом 56;15;профсоюзная улица;37.55248 55.670021;Обручевский район
6103;крошка картошка;да;предприятие быстрого обслуживания;город москва, профсоюзная улица, дом 56;40;профсоюзная улица;37.55248 55.670021;Обручевский район
6104;food trip cafe;нет;предприятие быстрого обслуживания;город москва, профсоюзная улица, дом 56;12;профсоюзная улица;37.55248 55.670021;Обручевский район
6105;тирольские пироги;да;предприятие быстрого обслуживания;город москва, профсоюзная улица, дом 56;4;профсоюзная улица;37.55248 55.670021;Обручевский район
6106;glowsubs sandwiches;да;кафе;город москва, профсоюзная улица, дом 56;12;профсоюзная улица;37.55248 55.670021;Обручевский район
6107;кулинарное бюро kitchen;да;кафе;город москва, профсоюзная улица, дом 56;70;профсоюзная улица;37.55248 55.670021;Обручевский район
6108;ресторантс-сервис;нет;ресторан;город москва, профсоюзная улица, дом 56;24;профсоюзная улица;37.55248 55.670021;Обручевский район
6109;черемуха;нет;кафе;город москва, профсоюзная улица, дом 56;56;профсоюзная улица;37.55248 55.670021;Обручевский район
6110;русагрохолдинг;нет;кафе;город москва, профсоюзная улица, дом 61а;0;профсоюзная улица;37.541503 55.656031;район Черёмушки
6111;система бит 2000;нет;кафе;город москва, профсоюзная улица, дом 61а;75;профсоюзная улица;37.541503 55.656031;район Черёмушки
6112;технологии ресторанного бизнеса;нет;ресторан;город москва, профсоюзная улица, дом 61а;70;профсоюзная улица;37.541503 55.656031;район Черёмушки
6113;максимальный ресторан;нет;ресторан;город москва, профсоюзная улица, дом 61а;0;профсоюзная улица;37.541503 55.656031;район Черёмушки
6114;москва - макдоналдс;да;ресторан;город москва, профсоюзная улица, дом 61а;70;профсоюзная улица;37.541503 55.656031;район Черёмушки
6115;гамма лайт;нет;бар;город москва, профсоюзная улица, дом 61а;50;профсоюзная улица;37.541503 55.656031;район Черёмушки
6116;сердолик-ю;нет;бар;город москва, профсоюзная улица, дом 61а;0;профсоюзная улица;37.541503 55.656031;район Черёмушки
6117;макдоналдс;да;ресторан;город москва, профсоюзная улица, дом 61а;0;профсоюзная улица;37.541503 55.656031;район Черёмушки
6118;крошка картошка;да;кафе;город москва, профсоюзная улица, дом 61а;0;профсоюзная улица;37.541503 55.656031;район Черёмушки
6130;кафе «пассаж»;нет;кафе;город москва, профсоюзная улица, дом 126, строение 7;24;профсоюзная улица;37.518587 55.633592;район Тёплый Стан
6131;бургер кинг;да;кафе;город москва, профсоюзная улица, дом 102, строение 1;50;профсоюзная улица;37.526232 55.643658;район Коньково
6145;кафе шоколад;да;кафе;город москва, профсоюзная улица, дом 45а;90;профсоюзная улица;37.55187 55.666878;район Черёмушки
6158;му-му;да;ресторан;город москва, профсоюзная улица, дом 129а;180;профсоюзная улица;37.507484 55.61813;район Ясенево
6159;эмиратас;нет;кафе;город москва, профсоюзная улица, дом 129а;120;профсоюзная улица;37.507484 55.61813;район Ясенево
6160;шоколадница;да;кафе;город москва, профсоюзная улица, дом 129а;55;профсоюзная улица;37.507484 55.61813;район Ясенево
6161;япоша;да;ресторан;город москва, профсоюзная улица, дом 129а;150;профсоюзная улица;37.507484 55.61813;район Ясенево
6162;макдоналдс;да;ресторан;город москва, профсоюзная улица, дом 129а;120;профсоюзная улица;37.507484 55.61813;район Ясенево
6163;бургер кинг;да;кафе;город москва, профсоюзная улица, дом 129а;60;профсоюзная улица;37.507484 55.61813;район Ясенево
6164;маки-маки;да;кафе;город москва, профсоюзная улица, дом 129а;100;профсоюзная улица;37.507484 55.61813;район Ясенево
6173;фаворит;нет;ресторан;город москва, профсоюзная улица, дом 21а;120;профсоюзная улица;37.561275 55.675514;
6177;passion;нет;бар;город москва, ленинский проспект, дом 109;12;ленинский проспект;37.511445 55.663842;Обручевский район
6178;шоколадница;да;кафе;город москва, ленинский проспект, дом 109;30;ленинский проспект;37.511445 55.663842;Обручевский район
6179;кофе тун;да;кафе;город москва, ленинский проспект, дом 109;20;ленинский проспект;37.511445 55.663842;Обручевский район
6180;барбарис;да;ресторан;город москва, ленинский проспект, дом 109;25;ленинский проспект;37.511445 55.663842;Обручевский район
6181;yogurt frenzy;да;предприятие быстрого обслуживания;город москва, ленинский проспект, дом 109;4;ленинский проспект;37.511445 55.663842;Обручевский район
6182;seasons;нет;ресторан;город москва, ленинский проспект, дом 109;98;ленинский проспект;37.511445 55.663842;Обручевский район
6183;теремок;да;кафе;город москва, ленинский проспект, дом 109;30;ленинский проспект;37.511445 55.663842;Обручевский район
6184;крошка картошка;да;кафе;город москва, ленинский проспект, дом 109;40;ленинский проспект;37.511445 55.663842;Обручевский район
6185;ташир пицца;да;кафе;город москва, ленинский проспект, дом 109;72;ленинский проспект;37.511445 55.663842;Обручевский район
6186;bocconcino;да;ресторан;город москва, ленинский проспект, дом 109;68;ленинский проспект;37.511445 55.663842;Обручевский район
6187;макдоналдс;да;кафе;город москва, ленинский проспект, дом 109;70;ленинский проспект;37.511445 55.663842;Обручевский район
6189;рэдимэйд групп;нет;кафе;город москва, профсоюзная улица, дом 25а;40;профсоюзная улица;37.564985 55.674326;
6190;менза;да;ресторан;город москва, профсоюзная улица, дом 118;90;профсоюзная улица;37.521129 55.636306;район Коньково
6191;макдоналдс;да;кафе;город москва, профсоюзная улица, дом 118;60;профсоюзная улица;37.521129 55.636306;район Коньково
6244;школьно-базовая столовая;нет;столовая;город москва, варшавское шоссе, владение 250, строение 1;100;варшавское шоссе;37.573438 55.532385;район Южное Бутово
6256;фортуна;нет;кафетерий;город москва, варшавское шоссе, дом 206;12;варшавское шоссе;37.581721 55.537088;район Южное Бутово
6298;столовая при нииаа им. семенихина;нет;столовая;город москва, профсоюзная улица, дом 78, строение 1;150;профсоюзная улица;37.540641 55.659124;Обручевский район
6302;кондитерская;нет;магазин (отдел кулинарии);город москва, профсоюзная улица, дом 64;24;профсоюзная улица;37.547405 55.666482;Обручевский район
6303;чайхона №1;да;ресторан;город москва, профсоюзная улица, дом 64;95;профсоюзная улица;37.547405 55.666482;Обручевский район
6321;ст.цо 170 школьник-юз;нет;столовая;город москва, профсоюзная улица, дом 96б;200;профсоюзная улица;37.525001 55.649845;район Коньково
6325;ст шк.176«школьник-юз»;нет;столовая;город москва, профсоюзная улица, дом 98а;210;профсоюзная улица;37.524004 55.647244;район Коньково
6326;столовая гбоу школа № 1507 корпус школьного образования № 865;нет;столовая;город москва, профсоюзная улица, дом 142, корпус 5;240;профсоюзная улица;37.504295 55.626721;район Тёплый Стан
6353;кафе «якитория»;да;кафе;город москва, проспект вернадского, дом 121, корпус 1;100;проспект вернадского;37.481909 55.657189;район Тропарёво-Никулино
6354;ресторан «ян примус»;да;ресторан;город москва, проспект вернадского, дом 121, корпус 1;100;проспект вернадского;37.481909 55.657189;район Тропарёво-Никулино
6405;glowsubs sandwiches;да;кафе;город москва, проспект вернадского, дом 88;20;проспект вернадского;37.476052 55.657931;район Тропарёво-Никулино
6406;кафе;нет;кафе;город москва, проспект вернадского, дом 88;20;проспект вернадского;37.476052 55.657931;район Тропарёво-Никулино
6407;кафе;нет;кафе;город москва, проспект вернадского, дом 88;10;проспект вернадского;37.476052 55.657931;район Тропарёво-Никулино
6415;ростикс kfc;да;кафе;город москва, проспект вернадского, дом 14а;30;проспект вернадского;37.506882 55.677737;район Проспект Вернадского
6416;кафе «нияма»;да;кафе;город москва, проспект вернадского, дом 14а;98;проспект вернадского;37.506882 55.677737;район Проспект Вернадского
6417;бистро;нет;предприятие быстрого обслуживания;город москва, проспект вернадского, дом 14а;5;проспект вернадского;37.506882 55.677737;район Проспект Вернадского
6418;кафе «мангал»;нет;кафе;город москва, проспект вернадского, дом 14а;80;проспект вернадского;37.506882 55.677737;район Проспект Вернадского
6419;бургер кинг;да;предприятие быстрого обслуживания;город москва, проспект вернадского, дом 14а;40;проспект вернадского;37.506882 55.677737;район Проспект Вернадского
6430;кафе «петрол комплекс эквипмент кампани»;нет;кафетерий;город москва, проспект вернадского, дом 86д;40;проспект вернадского;37.480256 55.660754;район Тропарёво-Никулино
6433;сам пришел;нет;ресторан;город москва, проспект вернадского, дом 76а;49;проспект вернадского;37.493632 55.670133;район Проспект Вернадского
6436;чайхона №1;да;ресторан;город москва, проспект вернадского, дом 105, корпус 3;250;проспект вернадского;37.484864 55.663806;район Тропарёво-Никулино
6437;кафе «менза»;да;кафе;город москва, проспект вернадского, дом 105, корпус 3;165;проспект вернадского;37.484864 55.663806;район Тропарёво-Никулино
6438;тимур;нет;ресторан;город москва, ленинский проспект, дом 146;94;ленинский проспект;37.497656 55.657408;район Тропарёво-Никулино
6439;ресторан «скай вью»;нет;ресторан;город москва, ленинский проспект, дом 146;140;ленинский проспект;37.497656 55.657408;район Тропарёво-Никулино
6440;ресторан «пивной дворик»;нет;ресторан;город москва, ленинский проспект, дом 146;140;ленинский проспект;37.497656 55.657408;район Тропарёво-Никулино
6441;ресторан «цдт»;нет;ресторан;город москва, ленинский проспект, дом 146;495;ленинский проспект;37.497656 55.657408;район Тропарёво-Никулино
6442;ресторан «южное китайское море»;нет;ресторан;город москва, ленинский проспект, дом 146;80;ленинский проспект;37.497656 55.657408;район Тропарёво-Никулино
6443;урюк;да;ресторан;город москва, проспект вернадского, владение 6, строение 3;186;проспект вернадского;37.533921 55.692714;район Раменки
6468;кафе;нет;кафе;город москва, проспект вернадского, дом 86б;30;проспект вернадского;37.481469 55.661684;район Тропарёво-Никулино
6470;кафе «теремок»;да;предприятие быстрого обслуживания;город москва, проспект вернадского, дом 6;40;проспект вернадского;37.527956 55.691958;район Раменки
6471;кафе «азра»;нет;предприятие быстрого обслуживания;город москва, проспект вернадского, дом 6;24;проспект вернадского;37.527956 55.691958;район Раменки
6472;кафе kfc;да;предприятие быстрого обслуживания;город москва, проспект вернадского, дом 6;40;проспект вернадского;37.527956 55.691958;район Раменки
6473;кафе «каро фильм»;нет;кафе;город москва, проспект вернадского, дом 6;85;проспект вернадского;37.527956 55.691958;район Раменки
6474;сбарро;да;предприятие быстрого обслуживания;город москва, проспект вернадского, дом 6;36;проспект вернадского;37.527956 55.691958;район Раменки
6475;кафе бургер кинг;нет;предприятие быстрого обслуживания;город москва, проспект вернадского, дом 6;40;проспект вернадского;37.527956 55.691958;район Раменки
6476;кафе «супвок»;нет;предприятие быстрого обслуживания;город москва, проспект вернадского, дом 6;40;проспект вернадского;37.527956 55.691958;район Раменки
6477;кафе «макдоналдс»;да;предприятие быстрого обслуживания;город москва, проспект вернадского, дом 6;50;проспект вернадского;37.527956 55.691958;район Раменки
6478;крошка картошка;да;предприятие быстрого обслуживания;город москва, проспект вернадского, дом 6;40;проспект вернадского;37.527956 55.691958;район Раменки
6479;кафе «восточный базар»;да;кафе;город москва, проспект вернадского, дом 6;80;проспект вернадского;37.527956 55.691958;район Раменки
6480;кафе кофе-хаус;да;кафе;город москва, проспект вернадского, дом 6;48;проспект вернадского;37.527956 55.691958;район Раменки
6481;ресторан «грано»;нет;ресторан;город москва, проспект вернадского, дом 6;90;проспект вернадского;37.527956 55.691958;район Раменки
6482;кафе «суши бар»;нет;кафе;город москва, проспект вернадского, дом 6;10;проспект вернадского;37.527956 55.691958;район Раменки
6483;кафе starbucks;да;предприятие быстрого обслуживания;город москва, проспект вернадского, дом 6;19;проспект вернадского;37.527956 55.691958;район Раменки
6484;кафе;нет;кафе;город москва, проспект вернадского, дом 6;24;проспект вернадского;37.527956 55.691958;район Раменки
6485;ресторан «космик»;да;ресторан;город москва, проспект вернадского, дом 6;150;проспект вернадского;37.527956 55.691958;район Раменки
6486;кафе «шоколадница»;да;кафе;город москва, проспект вернадского, дом 6;84;проспект вернадского;37.527956 55.691958;район Раменки
6487;кафе «пекинская утка»;нет;кафе;город москва, проспект вернадского, дом 6;90;проспект вернадского;37.527956 55.691958;район Раменки
6488;ресторан «черный бык»;нет;ресторан;город москва, проспект вернадского, дом 6;120;проспект вернадского;37.527956 55.691958;район Раменки
6489;ресторан tgi friday s;нет;ресторан;город москва, проспект вернадского, дом 6;180;проспект вернадского;37.527956 55.691958;район Раменки
6490;кафе;нет;кафе;город москва, проспект вернадского, дом 6;10;проспект вернадского;37.527956 55.691958;район Раменки
6491;каро;да;кафе;город москва, проспект вернадского, дом 6;9;проспект вернадского;37.527956 55.691958;район Раменки
6492;пиццерия;нет;предприятие быстрого обслуживания;город москва, проспект вернадского, дом 6;46;проспект вернадского;37.527956 55.691958;район Раменки
6493;хинкальная;да;ресторан;город москва, проспект вернадского, дом 6;74;проспект вернадского;37.527956 55.691958;район Раменки
6494;кафе «вьет кафе»;нет;предприятие быстрого обслуживания;город москва, проспект вернадского, дом 6;20;проспект вернадского;37.527956 55.691958;район Раменки
6553;пекарня волконский;нет;кафе;город москва, кутузовский проспект, дом 36, строение 10;15;кутузовский проспект;37.525396 55.74185;район Дорогомилово
6566;drake;нет;ресторан;город москва, кутузовский проспект, дом 12, строение 1;60;кутузовский проспект;37.5592 55.750788;район Дорогомилово
6567;сыроварня;нет;ресторан;город москва, кутузовский проспект, дом 12, строение 1;96;кутузовский проспект;37.5592 55.750788;район Дорогомилово
6568;the 12 wine bar;нет;ресторан;город москва, кутузовский проспект, дом 12, строение 1;42;кутузовский проспект;37.5592 55.750788;район Дорогомилово
6569;новые формы;нет;ресторан;город москва, кутузовский проспект, дом 12, строение 3;35;кутузовский проспект;37.556379 55.750515;район Дорогомилово
6570;нофар;нет;ресторан;город москва, кутузовский проспект, дом 12, строение 3;100;кутузовский проспект;37.556379 55.750515;район Дорогомилово
6621;концерн радиостроения вега;нет;столовая;город москва, кутузовский проспект, дом 34;50;кутузовский проспект;37.528963 55.740517;район Дорогомилово
6683;бар;нет;бар;город москва, кутузовский проспект, дом 48;40;кутузовский проспект;37.487353 55.731713;район Фили-Давыдково
6684;белучи;нет;ресторан;город москва, кутузовский проспект, дом 48;40;кутузовский проспект;37.487353 55.731713;район Фили-Давыдково
6685;найскафе;нет;кафе;город москва, кутузовский проспект, дом 48;98;кутузовский проспект;37.487353 55.731713;район Фили-Давыдково
6686;сенси кафе;нет;кафе;город москва, кутузовский проспект, дом 48;40;кутузовский проспект;37.487353 55.731713;район Фили-Давыдково
6687;спеттаколо;нет;ресторан;город москва, кутузовский проспект, дом 48;98;кутузовский проспект;37.487353 55.731713;район Фили-Давыдково
6688;сливки;нет;ресторан;город москва, кутузовский проспект, дом 48;35;кутузовский проспект;37.487353 55.731713;район Фили-Давыдково
6689;вивальди;нет;ресторан;город москва, кутузовский проспект, дом 48;30;кутузовский проспект;37.487353 55.731713;район Фили-Давыдково
6690;кап-ферра;нет;ресторан;город москва, кутузовский проспект, дом 48;92;кутузовский проспект;37.487353 55.731713;район Фили-Давыдково
6691;облака;нет;ресторан;город москва, кутузовский проспект, дом 48;96;кутузовский проспект;37.487353 55.731713;район Фили-Давыдково
6692;ribambelle;нет;ресторан;город москва, кутузовский проспект, дом 48;96;кутузовский проспект;37.487353 55.731713;район Фили-Давыдково
6693;шоколадница;да;ресторан;город москва, кутузовский проспект, дом 24, сооружение 1;90;кутузовский проспект;37.545267 55.744526;район Дорогомилово
6725;grammy s;нет;ресторан;город москва, кутузовский проспект, дом 2/1, строение 6;100;кутузовский проспект;37.566764 55.752323;район Дорогомилово
6726;тоторо;нет;ресторан;город москва, кутузовский проспект, дом 2/1, строение 6;120;кутузовский проспект;37.566764 55.752323;район Дорогомилово
6727;эрвин;нет;ресторан;город москва, кутузовский проспект, дом 2/1, строение 6;150;кутузовский проспект;37.566764 55.752323;район Дорогомилово
6728;марани;нет;ресторан;город москва, кутузовский проспект, дом 2/1, строение 6;154;кутузовский проспект;37.566764 55.752323;район Дорогомилово
6729;иль форно;да;ресторан;город москва, кутузовский проспект, дом 2/1, строение 6;98;кутузовский проспект;37.566764 55.752323;район Дорогомилово
6730;солюкс клаб;нет;ресторан;город москва, кутузовский проспект, дом 2/1, строение 6;160;кутузовский проспект;37.566764 55.752323;район Дорогомилово
6731;amarsi;нет;ресторан;город москва, кутузовский проспект, дом 2/1, строение 6;134;кутузовский проспект;37.566764 55.752323;район Дорогомилово
6732;кафе 2;нет;кафе;город москва, кутузовский проспект, дом 2/1, строение 6;50;кутузовский проспект;37.566764 55.752323;район Дорогомилово
6733;latinos;нет;кафе;город москва, кутузовский проспект, дом 2/1, строение 6;60;кутузовский проспект;37.566764 55.752323;район Дорогомилово
6734;матрешка;нет;ресторан;город москва, кутузовский проспект, дом 2/1, строение 6;86;кутузовский проспект;37.566764 55.752323;район Дорогомилово
6735;шеф;нет;ресторан;город москва, кутузовский проспект, дом 2/1, строение 6;255;кутузовский проспект;37.566764 55.752323;район Дорогомилово
6919;stone crab;нет;ресторан;город москва, ленинградский проспект, дом 15, строение 1;86;ленинградский проспект;37.572082 55.781539;район Беговой
6920;карте бланж;нет;столовая;город москва, ленинградский проспект, дом 15, строение 2;85;ленинградский проспект;37.571929 55.781858;район Беговой
6994;мандарин;нет;кафе;город москва, ленинградский проспект, дом 80, корпус 17;47;ленинградский проспект;37.511508 55.807951;район Сокол
6996;столовая академии федеральной пограничной службы россии;нет;столовая;город москва, ленинградский проспект, дом 3, строение 1;90;ленинградский проспект;37.578415 55.777565;район Беговой
6997;андерсон;да;кафе;город москва, ленинградский проспект, дом 74, строение 8;45;ленинградский проспект;37.517787 55.806788;район Аэропорт
7002;экспериментариум кафе;нет;кафе;город москва, ленинградский проспект, дом 80, корпус 11;90;ленинградский проспект;37.511086 55.808786;район Сокол
7021;vместо sushi;нет;кафе;город москва, ленинградский проспект, дом 76а;83;ленинградский проспект;37.515155 55.805837;район Аэропорт
7035;теремок;да;кафе;город москва, ленинградский проспект, дом 62а;12;ленинградский проспект;37.532098 55.801835;район Аэропорт
7036;иль патио;да;ресторан;город москва, ленинградский проспект, дом 62а;60;ленинградский проспект;37.532098 55.801835;район Аэропорт
7038;шашлычный дворик;нет;столовая;город москва, ленинградский проспект, дом 39, строение 73;25;ленинградский проспект;37.541198 55.794609;Хорошёвский район
7041;кафе-бистро солоха;нет;кафе;город москва, ленинградский проспект, дом 37б;20;ленинградский проспект;37.544629 55.790221;Хорошёвский район
7049;ленинград;нет;ресторан;город москва, ленинградский проспект, дом 24а, строение 4;60;ленинградский проспект;37.573771 55.78322;район Беговой
7056;кофе с собой;да;кафе;город москва, ленинградский проспект, дом 74а;2;ленинградский проспект;37.516925 55.80694;район Аэропорт
7057;следующая станция сокол;нет;бар;город москва, ленинградский проспект, дом 74а;20;ленинградский проспект;37.516925 55.80694;район Аэропорт
7098;star hit cafe;нет;кафе;город москва, ленинградский проспект, дом 31а, строение 1;54;ленинградский проспект;37.559541 55.784233;район Беговой
7099;эликсир;нет;столовая;город москва, ленинградский проспект, дом 31а, строение 1;300;ленинградский проспект;37.559541 55.784233;район Беговой
7100;ванильное небо;нет;кафе;город москва, ленинградский проспект, дом 31а, строение 1;36;ленинградский проспект;37.559541 55.784233;район Беговой
7101;чайхона №1;да;ресторан;город москва, ленинградский проспект, дом 31а, строение 1;95;ленинградский проспект;37.559541 55.784233;район Беговой
7102;лобби бар;нет;кафе;город москва, ленинградский проспект, дом 31а, строение 1;60;ленинградский проспект;37.559541 55.784233;район Беговой
7103;бар vip этажа;нет;бар;город москва, ленинградский проспект, дом 31а, строение 1;80;ленинградский проспект;37.559541 55.784233;район Беговой
7104;банкетный;нет;ресторан;город москва, ленинградский проспект, дом 31а, строение 1;625;ленинградский проспект;37.559541 55.784233;район Беговой
7105;премьер;нет;ресторан;город москва, ленинградский проспект, дом 31а, строение 1;78;ленинградский проспект;37.559541 55.784233;район Беговой
7106;аллегро;нет;ресторан;город москва, ленинградский проспект, дом 31а, строение 1;120;ленинградский проспект;37.559541 55.784233;район Беговой
7107;мозаика;нет;ресторан;город москва, ленинградский проспект, дом 31а, строение 1;180;ленинградский проспект;37.559541 55.784233;район Беговой
7108;столовая рабочая;нет;столовая;город москва, ленинградский проспект, дом 31а, строение 1;40;ленинградский проспект;37.559541 55.784233;район Беговой
7112;лобби бар;нет;бар;город москва, ленинградский проспект, дом 40;20;ленинградский проспект;37.552184 55.793024;район Аэропорт
7113;карамзин;нет;ресторан;город москва, ленинградский проспект, дом 40;60;ленинградский проспект;37.552184 55.793024;район Аэропорт
7130;ичибан боши;да;кафе;город москва, ленинградский проспект, дом 72, корпус 4;67;ленинградский проспект;37.519863 55.805245;район Аэропорт
7131;прайм стар;да;кафе;город москва, ленинградский проспект, дом 72, корпус 4;46;ленинградский проспект;37.519863 55.805245;район Аэропорт
7132;redspoon;нет;кафе;город москва, ленинградский проспект, дом 72, корпус 2;96;ленинградский проспект;37.521327 55.805528;район Аэропорт
7133;iq wine;нет;бар;город москва, ленинградский проспект, дом 72, корпус 1;30;ленинградский проспект;37.520339 55.805791;район Аэропорт
7134;академия;да;кафе;город москва, ленинградский проспект, дом 72, корпус 1;60;ленинградский проспект;37.520339 55.805791;район Аэропорт
7136;кофе-фм;нет;кафе;город москва, ленинградский проспект, дом 37, строение 16;56;ленинградский проспект;37.546731 55.793181;Хорошёвский район
7281;кафе «у толика»;нет;кафе;город москва, каширское шоссе, дом 3, корпус 1, строение 4;40;каширское шоссе;37.628801 55.671473;район Нагатино-Садовники
7283;ресторан «чайхана урюк»;да;ресторан;город москва, ленинский проспект, дом 31, корпус 1, строение 1;250;ленинский проспект;37.589877 55.713212;Донской район
7327;кафе высота;нет;кафе;город москва, варшавское шоссе, дом 33;70;варшавское шоссе;37.622729 55.692389;Донской район
7358;гбоу школа 544 «кдп»;нет;столовая;город москва, каширское шоссе, дом 116, корпус 3;160;каширское шоссе;37.714806 55.606761;район Орехово-Борисово Южное
7374;столовая;нет;столовая;город москва, каширское шоссе, дом 33;50;каширское шоссе;37.670339 55.646563;район Москворечье-Сабурово
7375;столовая «вниихт»;нет;столовая;город москва, каширское шоссе, дом 33;16;каширское шоссе;37.670339 55.646563;район Москворечье-Сабурово
7376;московский ордена ленина и ордена трудового красного знамени метрополитен имени в.и.ленина;нет;столовая;город москва, варшавское шоссе, дом 93;200;варшавское шоссе;37.620698 55.646894;Нагорный район
7377;кафе «гавань»;нет;кафе;город москва, каширское шоссе, дом 23, строение 5;80;каширское шоссе;37.642546 55.659805;район Нагатино-Садовники
7384;кафе;нет;кафе;город москва, варшавское шоссе, дом 125ж, корпус 5;25;варшавское шоссе;37.621525 55.622497;район Чертаново Северное
7395;ростик;нет;предприятие быстрого обслуживания;город москва, варшавское шоссе, дом 132а;60;варшавское шоссе;37.61088 55.616747;район Чертаново Центральное
7396;кафе «торнадо»;да;кафе;город москва, кировоградская улица, дом 9, корпус 4;80;кировоградская улица;37.611733 55.621719;район Чертаново Северное
7397;кафе-халяль;нет;кафе;город москва, кировоградская улица, дом 9, корпус 4;30;кировоградская улица;37.611733 55.621719;район Чертаново Северное
7408;столовая школы 1178;нет;столовая;город москва, варшавское шоссе, дом 152, корпус 10;300;варшавское шоссе;37.596327 55.591671;район Чертаново Южное
7415;кофепорт;да;кафе;город москва, варшавское шоссе, дом 26;10;варшавское шоссе;37.621947 55.684503;Нагорный район
7416;якитория;да;ресторан;город москва, варшавское шоссе, дом 26;98;варшавское шоссе;37.621947 55.684503;Нагорный район
7431;кафе «макдоналдс»;да;кафе;город москва, каширское шоссе, дом 61/15;55;каширское шоссе;37.718013 55.612197;район Орехово-Борисово Северное
7436;руспицца;нет;кафе;город москва, варшавское шоссе, дом 125, строение 3;46;варшавское шоссе;37.621723 55.62945;район Чертаново Северное
7441;донер-кебаб;нет;предприятие быстрого обслуживания;город москва, каширское шоссе, дом 108, корпус 1;0;каширское шоссе;37.716495 55.609299;район Орехово-Борисово Южное
7459;мфюа «нано фреш»;нет;столовая;город москва, варшавское шоссе, дом 81, корпус 2;36;варшавское шоссе;37.621202 55.656539;Нагорный район
7461;столовая «полисервис-мзп»;нет;столовая;город москва, каширское шоссе, дом 49;292;каширское шоссе;37.68659 55.640731;район Москворечье-Сабурово
7466;кофейня «шоколадница»;да;кафе;город москва, кировоградская улица, дом 14;46;кировоградская улица;37.60593 55.622604;район Чертаново Северное
7467;предприятие быстрого обслуживания «бургер кинг»;да;предприятие быстрого обслуживания;город москва, кировоградская улица, дом 14;24;кировоградская улица;37.60593 55.622604;район Чертаново Северное
7468;предприятие быстрого обслуживания «теремок»;да;предприятие быстрого обслуживания;город москва, кировоградская улица, дом 14;48;кировоградская улица;37.60593 55.622604;район Чертаново Северное
7469;предприятие быстрого обслуживания «макдоналдс»;да;предприятие быстрого обслуживания;город москва, кировоградская улица, дом 14;46;кировоградская улица;37.60593 55.622604;район Чертаново Северное
7470;предприятие быстрого обслуживания «бенто wok»;да;предприятие быстрого обслуживания;город москва, кировоградская улица, дом 14;24;кировоградская улица;37.60593 55.622604;район Чертаново Северное
7471;предприятие быстрого обслуживания «kfc»;да;предприятие быстрого обслуживания;город москва, кировоградская улица, дом 14;30;кировоградская улица;37.60593 55.622604;район Чертаново Северное
7472;сезам;нет;кафе;город москва, варшавское шоссе, дом 30, корпус 2;40;варшавское шоссе;37.622702 55.682793;Нагорный район
7478;мпо электротехника;нет;столовая;город москва, каширское шоссе, дом 1, строение 3;80;каширское шоссе;37.628208 55.674834;район Нагатино-Садовники
