;object_name;chain;object_type;address;number;street;coord;district
8711;шоколадница;да;кафе;город москва, кутузовский проспект, дом 57;30;кутузовский проспект;37.476169 55.727927;район Фили-Давыдково
8785;зелень;нет;кафе;город москва, ленинский проспект, дом 95;49;ленинский проспект;37.525863 55.673976;Ломоносовский район
8793;ст шк.2013 «школьник-юз»;нет;столовая;профсоюзная улица, дом 118б, корпус 1;220;профсоюзная улица;37.516647 55.637642;район Коньково
8810;точка отрыва;нет;кафе;город москва, кутузовский проспект, дом 36, строение 3;40;кутузовский проспект;37.526286 55.740026;район Дорогомилово
8843;буфет при а-с юго-запад;нет;буфет;ленинский проспект, владение 164;16;ленинский проспект;37.468775 55.644064;район Тропарёво-Никулино
8851;китайская кухня;нет;предприятие быстрого обслуживания;город москва, кировоградская улица, дом 13а;20;кировоградская улица;37.607026 55.612182;район Чертаново Центральное
8852;грузинская кухня хачапурная;нет;предприятие быстрого обслуживания;город москва, кировоградская улица, дом 13а;50;кировоградская улица;37.607026 55.612182;район Чертаново Центральное
8853;dunkin donuts;да;кафе;город москва, кировоградская улица, дом 13а;34;кировоградская улица;37.607026 55.612182;район Чертаново Центральное
8855;хлебопекарные изделия из тандыра;нет;магазин (отдел кулинарии);город москва, варшавское шоссе, дом 143а;2;варшавское шоссе;37.599148 55.583953;район Чертаново Южное
8897;предприятие быстрого обслуживания «магбургер»;да;предприятие быстрого обслуживания;варшавское шоссе, владение 99а;20;варшавское шоссе;37.620636 55.632713;район Чертаново Северное
8908;бургер кинг;да;кафе;город москва, профсоюзная улица, дом 56;24;профсоюзная улица;37.55248 55.670021;Обручевский район
8909;бургер кинг;да;закусочная;город москва, проспект мира, дом 114б, строение 2;91;проспект мира;37.638 55.808225;Алексеевский район
8913;бургер кинг;да;предприятие быстрого обслуживания;город москва, кировоградская улица, дом 24а;30;кировоградская улица;37.603118 55.612065;район Чертаново Центральное
8914;бургер кинг;да;предприятие быстрого обслуживания;город москва, кутузовский проспект, дом 57;30;кутузовский проспект;37.476169 55.727927;район Фили-Давыдково
8915;бургер кинг;да;предприятие быстрого обслуживания;город москва, проспект вернадского, дом 86б;70;проспект вернадского;37.481469 55.661684;район Тропарёво-Никулино
8919;кафе бургер кинг;да;кафе;город москва, проспект мира, дом 211, корпус 2;50;проспект мира;37.662093 55.845855;район Свиблово
8921;бургер кинг;да;предприятие быстрого обслуживания;город москва, проспект мира, дом 92, строение 2;25;проспект мира;37.636356 55.793227;Мещанский район
8926;такэ до;нет;ресторан;город москва, кутузовский проспект, дом 17;78;кутузовский проспект;37.556864 55.746922;район Дорогомилово
8927;рестомаркет;нет;ресторан;город москва, ленинградский проспект, дом 66;30;ленинградский проспект;37.52598 55.802725;район Аэропорт
8971;кафе;нет;кафетерий;город москва, варшавское шоссе, дом 28а;40;варшавское шоссе;37.617941 55.682803;Нагорный район
8981;пекарня домашний хлеб;нет;магазин (отдел кулинарии);город москва, проспект мира, дом 146;4;проспект мира;37.642689 55.820834;Алексеевский район
8994;kfc;да;кафе;город москва, проспект мира, дом 112;18;проспект мира;37.637847 55.805943;Алексеевский район
8997;сибириада;нет;кафетерий;город москва, проспект вернадского, дом 111;3;проспект вернадского;37.482735 55.660272;район Тропарёво-Никулино
9009;мокка;нет;кафе;город москва, ленинский проспект, дом 67;40;ленинский проспект;37.552732 55.691516;Гагаринский район
9015;он мой;нет;кафетерий;город москва, проспект мира, дом 45;6;проспект мира;37.633688 55.782547;Мещанский район
9064;комбинат питания «управление академсервис»;нет;столовая;город москва, проспект вернадского, дом 84, строение 1;1288;проспект вернадского;37.478603 55.665137;район Тропарёво-Никулино
9068;комбинат питания митхт «инфраструктура холдинг»;нет;столовая;город москва, проспект вернадского, дом 86, строение 2;160;проспект вернадского;37.476088 55.660963;район Тропарёво-Никулино
9069;комбинат питания мирэа;нет;столовая;город москва, проспект вернадского, дом 78, строение 8;200;проспект вернадского;37.479088 55.672372;район Тропарёво-Никулино
9089;лепим и варим;нет;кафе;город москва, проспект мира, дом 26, строение 1;82;проспект мира;37.633068 55.77796;Мещанский район
9094;fusion;нет;бар;город москва, проспект мира, дом 68, строение 3;40;проспект мира;37.635817 55.78727;Мещанский район
9099;комбинат питаная вагш;нет;столовая;город москва, проспект вернадского, дом 100, корпус зона, строение с-1;172;проспект вернадского;;
9132;комбинат питания мпгу;нет;столовая;город москва, проспект вернадского, дом 88;200;проспект вернадского;37.476052 55.657931;район Тропарёво-Никулино
9145;шаурма;нет;предприятие быстрого обслуживания;город москва, ленинградский проспект, дом 37а, строение 32;0;ленинградский проспект;37.552453 55.790757;район Беговой
