;object_name;chain;object_type;address;number;street;coords;district
5667;столовая;нет;столовая;город москва, барабанный переулок, дом 3;60;барабанный переулок;37.707673 55.783139;район Соколиная Гора
5708;березки;нет;кафе;город москва, курганская улица, дом 4а;90;курганская улица;37.815938 55.829426;район Гольяново
5712;кафе «черный кот»;нет;кафе;город москва, нижний журавлёв переулок, дом 3;20;нижний журавлёв переулок;37.706164 55.78359;район Соколиная Гора
5716;кафе при азс газпромнефть №134;нет;буфет;город москва, русаковская набережная, дом 7;18;русаковская набережная;37.698484 55.798323;район Сокольники
5725;ноу «мини-школа»;нет;буфет;город москва, кузьминская улица, дом 10, строение 2;50;кузьминская улица;37.786285 55.693378;район Кузьминки
5731;столовая при оао док-3;нет;столовая;город москва, 1-я карачаровская улица, дом 8, строение 1;31;1-я карачаровская улица;37.754035 55.73591;Нижегородский район
5734;столовая гоу 1083;нет;столовая;город москва, хвалынский бульвар, дом 4, корпус 4;200;хвалынский бульвар;37.849257 55.700121;район Выхино-Жулебино
5772;пролетарец;нет;столовая;город москва, новоостаповская улица, дом 12, строение 2;48;новоостаповская улица;37.671813 55.718233;Южнопортовый район
5826;столовая фгпу усст 2;нет;столовая;город москва, 2-й курьяновский проезд, дом 2;32;2-й курьяновский проезд;37.698762 55.652684;район Печатники
5828;харт-трейдинг лтд;нет;буфет;город москва, егорьевский проезд, дом 2, строение 5;30;егорьевский проезд;37.734865 55.671803;район Люблино
5842;ниипм;нет;столовая;город москва, перовский проезд, дом 35, строение 8;140;перовский проезд;37.710225 55.744358;район Лефортово
5848;столовая;нет;столовая;город москва, автомобильный проезд, дом 6, строение 2;48;автомобильный проезд;37.701143 55.729924;Нижегородский район
5853;кафе-бистро;нет;кафе;город москва, басовская улица, дом 16, строение 1;24;басовская улица;37.747568 55.738287;Нижегородский район
5857;мниипа;нет;столовая;город москва, красноказарменный проезд, дом 14а, корпус 19;180;красноказарменный проезд;37.706155 55.753909;район Лефортово
5901;всеросийская государственная налоговая академия;нет;столовая;город москва, 4-й вешняковский проезд, дом 4, строение 1;80;4-й вешняковский проезд;37.796445 55.718451;Рязанский район
5902;зарайский дворик;нет;кафе;город москва, зарайская улица, дом 33, корпус 2;44;зарайская улица;37.770699 55.729843;Рязанский район
5907;бризоль-м;нет;столовая;город москва, 4-я кабельная улица, дом 2а, строение 1;180;4-я кабельная улица;37.71875 55.740558;район Лефортово
5908;саят нова;нет;ресторан;город москва, улица капотня, дом 34;220;улица капотня;37.808428 55.639847;район Капотня
5910;школа 775;нет;буфет;город москва, армавирская улица, дом 4;210;армавирская улица;37.753398 55.67528;район Люблино
5935;а ля фуршет;нет;ресторан;город москва, сормовский проезд, дом 11, строение 8;60;сормовский проезд;37.804386 55.707111;район Выхино-Жулебино
5943;гбоу «многофункциональный образовательный комплекс «кузьминки»;нет;столовая;город москва, есенинский бульвар, дом 14, корпус 2;130;есенинский бульвар;37.774813 55.700547;район Кузьминки
5952;караван прожект;нет;ресторан;город москва, 2-й кабельный проезд, дом 1;91;2-й кабельный проезд;37.716297 55.747723;район Лефортово
5964;школа 509;нет;столовая;город москва, 6-я кожуховская улица, дом 8;215;6-я кожуховская улица;37.67219 55.706482;Южнопортовый район
5966;кафе-бар «жулебино»;нет;кафе;город москва, тарханская улица, дом 2;50;тарханская улица;37.858887 55.684686;район Выхино-Жулебино
5989;школа 469;нет;столовая;город москва, улица крутицкий вал, дом 5;240;улица крутицкий вал;37.666297 55.72928;Южнопортовый район
6030;школа № 1279;нет;столовая;город москва, сивашская улица, дом 2, корпус 1;70;сивашская улица;37.606236 55.660379;район Зюзино
6168;кантина кафе офис клуб;нет;кафе;город москва, научный проезд, дом 19;200;научный проезд;37.553963 55.653304;район Черёмушки
6212;школьно-базовая столовая;нет;столовая;город москва, 3-я железногорская улица, дом 11а;100;3-я железногорская улица;37.548267 55.5217;район Южное Бутово
6239;subway;да;предприятие быстрого обслуживания;город москва, новобутовский проезд, владение 9, строение 1;12;новобутовский проезд;37.558858 55.553732;район Южное Бутово
6240;школьно-базовая столовая;нет;столовая;город москва, улица академика понтрягина, дом 17, корпус 1;110;улица академика понтрягина;37.502813 55.533522;район Южное Бутово
6246;школьно-базовая столовая;нет;столовая;город москва, улица брусилова, дом 29, корпус 1;260;улица брусилова;37.592779 55.502079;район Южное Бутово
6276;соль и мясо;нет;кафе;город москва, синельниковская улица, дом 47;50;синельниковская улица;37.572423 55.542477;район Южное Бутово
6279;ст.шк.20 «школьник-юз»;нет;столовая;город москва, улица академика арцимовича, дом 7;240;улица академика арцимовича;37.515137 55.642159;район Коньково
6290;столовая при ну акушерства и гинекологии;нет;столовая;город москва, улица академика опарина, дом 4;80;улица академика опарина;37.49992 55.643856;Обручевский район
6394;столовая;нет;столовая;город москва, большая внуковская улица, дом 2а, строение 9;46;большая внуковская улица;37.29267 55.615207;район Внуково
6599;ансар;нет;кафе;город москва, улица клочкова, дом 10;25;улица клочкова;37.450683 55.726213;район Фили-Давыдково
6736;столовая гбпоу «мгтк имени л.а.филатова»;нет;столовая;город москва, волоцкой переулок, дом 15, корпус 2;250;волоцкой переулок;37.352048 55.832535;район Митино
6750;столовая гбоу сош № 1544;нет;столовая;город москва, пенягинская улица, дом 14;240;пенягинская улица;37.359513 55.836059;район Митино
6779;столовая при институте;нет;столовая;город москва, улица рогова, дом 5а;63;улица рогова;37.461688 55.793809;район Щукино
6786;кафе;нет;кафе;город москва, улица саляма адиля, дом 9, корпус 3;15;улица саляма адиля;37.464499 55.775069;район Хорошёво-Мнёвники
6788;столовая;нет;столовая;город москва, улица шеногина, дом 2;60;улица шеногина;37.509918 55.765164;район Хорошёво-Мнёвники
6792;столовая гбоу школа № 1985;нет;столовая;город москва, ландышевая улица, дом 8;192;ландышевая улица;37.392248 55.886963;район Куркино
6794;столовая гбоу сош № 1564;нет;столовая;город москва, улица рословка, дом 8;240;улица рословка;37.360457 55.830255;район Митино
6829;кафе на азс;нет;закусочная;город москва, улица зенитчиков, дом 7;2;улица зенитчиков;37.348123 55.834628;район Митино
6870;зодиак;да;бар;город москва, неманский проезд, дом 1;48;неманский проезд;37.393955 55.815903;район Строгино
7010;столовая школы № 1847;нет;столовая;город москва, малый коптевский проезд, дом 3;35;малый коптевский проезд;37.531451 55.809732;район Аэропорт
7048;столовая школы №152;нет;столовая;город москва, 1-я аэропортовская улица, дом 1, строение 3;120;1-я аэропортовская улица;37.534523 55.800878;район Аэропорт
7074;зао смк северная звезда;нет;кафе;город москва, песчаная улица, дом 2а, строение 4;36;песчаная улица;37.514922 55.803266;район Сокол
7097;мастер гурмэ;нет;кафе;город москва, театральная аллея, дом 3, строение 1;70;театральная аллея;37.559883 55.793227;район Аэропорт
7126;рамн;нет;кафе;город москва, балтийская улица, дом 10, корпус 2;26;балтийская улица;37.516665 55.810425;район Аэропорт
7182;бригантина;нет;кафе;город москва, коптевский бульвар, дом 18а, строение 1;40;коптевский бульвар;37.522728 55.832404;район Коптево
7198;столовая в школе 1912 ул.2 пятилетка д.18а (ранее школа 229);нет;столовая;город москва, город зеленоград, улица вторая пятилетка, дом 18а;180;улица вторая пятилетка;37.168478 55.979551;
7227;грин хаус;нет;кафе;город москва, город зеленоград, солнечная аллея, дом 8;70;солнечная аллея;37.203494 55.983469;
7235;ф-ка госзнак;нет;столовая;город москва, улица павла андреева, дом 27, строение 2;80;улица павла андреева;37.618722 55.719581;Даниловский район
7254;римини;нет;кафе;город москва, город зеленоград, озёрная аллея, дом 8;25;озёрная аллея;37.225134 55.986485;район Савёлки
7271;загорье шк. 902;нет;столовая;город москва, педагогическая улица, дом 3;240;педагогическая улица;37.666288 55.596122;район Бирюлёво Восточное
7289;столовая;нет;столовая;город москва, 2-й рощинский проезд, дом 8;8;2-й рощинский проезд;37.603002 55.706315;Донской район
7354;столовая «школа 982 кдп»;нет;столовая;город москва, улица кошкина, дом 13, корпус 2;300;улица кошкина;37.674678 55.640878;район Москворечье-Сабурово
7379;соц-психологическ. институт «коп зил»;нет;буфет;город москва, 4-й рощинский проезд, дом 11;16;4-й рощинский проезд;37.611643 55.707547;Даниловский район
7743;школа 567 кшп «загорье»;нет;столовая;город москва, черноморский бульвар, дом 8;240;черноморский бульвар;37.612317 55.646045;Нагорный район
7746;столовая;нет;столовая;город москва, 3-й павловский переулок, дом 2;100;3-й павловский переулок;37.628631 55.718877;Даниловский район
7778;пу 53;нет;столовая;город москва, улица лефортовский вал, дом 26;120;улица лефортовский вал;37.696346 55.755778;район Лефортово
7782;геронтологический центр переделкино;нет;столовая;город москва, 7-я улица лазенки, дом 12, строение 2;200;7-я улица лазенки;37.348904 55.661115;район Ново-Переделкино
7783;столовая;нет;столовая;город москва, интернациональная улица, дом 10;200;интернациональная улица;37.253117 55.613738;район Внуково
7784;ксц «переделкино»;нет;столовая;город москва, 6-я улица лазенки, дом 2, строение 2;232;6-я улица лазенки;37.367823 55.664208;район Ново-Переделкино
7794;сабрина;нет;кафе;город москва, аэрофлотская улица, владение 2б;24;аэрофлотская улица;37.292095 55.610387;район Внуково
7834;кафе-кальянная «мамуния»;нет;кафе;город москва, лыщиков переулок, дом 5, строение 1;55;лыщиков переулок;37.654457 55.747794;Таганский район
7869;ноев ковчег;нет;ресторан;город москва, малый ивановский переулок, дом 4, строение 1;100;малый ивановский переулок;37.640641 55.75364;Басманный район
7872;кафе гор;нет;кафе;город москва, сибирский проезд, дом 2, корпус 27, строение 1;40;сибирский проезд;37.682826 55.729838;Таганский район
7928;пельменьи;нет;кафе;город москва, улица фадеева, дом 5, строение 1;30;улица фадеева;37.598681 55.774406;Тверской район
7935;столовая шк 498;нет;столовая;город москва, 2-я дубровская улица, дом 3;80;2-я дубровская улица;37.671381 55.728986;Таганский район
7939;шелби;нет;кафе;город москва, 1-й голутвинский переулок, дом 6;22;1-й голутвинский переулок;37.613494 55.7396;район Якиманка
7943;теремок;да;предприятие быстрого обслуживания;город москва, гжельский переулок, дом 19, строение 2;39;гжельский переулок;37.680616 55.747647;Таганский район
7945;секретное место;нет;кафе;город москва, калошин переулок, дом 4, строение 1;39;калошин переулок;37.592545 55.747905;район Арбат
7952;гбоу многопрофильный лицей №1501;нет;столовая;город москва, тихвинский переулок, дом 3;140;тихвинский переулок;37.595761 55.787705;Тверской район
8016;артс палас;нет;ресторан;город москва, успенский переулок, дом 3, строение 4;98;успенский переулок;37.607116 55.769292;Тверской район
8025;бизнес центр таганский;нет;кафе;город москва, улица высоцкого, дом 4;80;улица высоцкого;37.652903 55.74373;Таганский район
8041;школа №136;нет;столовая;город москва, переулок красина, дом 16, строение 10;120;переулок красина;37.581954 55.767539;Пресненский район
8085;кантинетта антинори;нет;ресторан;город москва, денежный переулок, дом 20;80;денежный переулок;37.58676 55.745412;район Хамовники
8120;гбоу лицей 1574;нет;столовая;город москва, 1-я миусская улица, дом 4;120;1-я миусская улица;37.596965 55.779737;Тверской район
8134;столовая шк 480;нет;столовая;город москва, средняя калитниковская улица, дом 22, строение 3;88;средняя калитниковская улица;37.68465 55.735302;Таганский район
8143;15 kitchen+bar;нет;ресторан;город москва, пожарский переулок, дом 15;30;пожарский переулок;37.600675 55.741744;район Хамовники
8147;дорогая я перезвоню;да;бар;город москва, большой строченовский переулок, дом 7;90;большой строченовский переулок;37.630858 55.729077;район Замоскворечье
8168;школа 1247;нет;столовая;город москва, госпитальный переулок, дом 3;35;госпитальный переулок;37.687497 55.770993;Басманный район
8199;крейзи дейзи;нет;бар;город москва, тургеневская площадь, дом 2;45;тургеневская площадь;37.635835 55.765311;Красносельский район
8229;школа 1621;нет;столовая;город москва, малый казённый переулок, дом 3;100;малый казённый переулок;37.65267 55.760287;Басманный район
8239;академия;да;кафе;город москва, бутиковский переулок, дом 7;35;бутиковский переулок;37.602184 55.737801;район Хамовники
8316;ribambelle;нет;ресторан;город москва, ботанический переулок, дом 5;80;ботанический переулок;37.637668 55.77792;Мещанский район
8342;столовая при гбоу школа 1231;нет;столовая;город москва, 7-й ростовский переулок, дом 16;40;7-й ростовский переулок;37.57492 55.74147;район Хамовники
8343;столовая при гбоу школа 1253;нет;столовая;город москва, пуговишников переулок, дом 7;70;пуговишников переулок;37.586374 55.732144;район Хамовники
8360;школа №83;нет;столовая;город москва, стрельбищенский переулок, дом 14;100;стрельбищенский переулок;37.540245 55.759745;Пресненский район
8376;лса;нет;столовая;город москва, большой знаменский переулок, дом 2, строение 26;24;большой знаменский переулок;37.603433 55.745873;район Хамовники
8402;столовая шк 1468;нет;столовая;город москва, брошевский переулок, дом 21;75;брошевский переулок;37.672594 55.735125;Таганский район
8445;венская кофейня-кофе шоп;нет;кафе;город москва, известковый переулок, дом 1;65;известковый переулок;37.656146 55.745118;Таганский район
8449;буфет школы 1305;нет;буфет;город москва, 2-й красносельский переулок, дом 18;130;2-й красносельский переулок;37.6698 55.784364;Красносельский район
8511;ресторан «заречье»;нет;ресторан;город москва, город троицк, 1-й заречный переулок, дом 17;47;1-й заречный переулок;37.304644 55.496797;
8539;пункт общественного питания без зала обслуживания посетителей;нет;предприятие быстрого обслуживания;город москва, город троицк, большая октябрьская улица, дом 4;0;большая октябрьская улица;37.300386 55.491574;
8601;кухня «сытый слон». доставка горячих обедов;нет;предприятие быстрого обслуживания;город москва, город троицк, троицкий бульвар, дом 7;0;троицкий бульвар;37.291152 55.466601;
8651;кафе на азс;нет;кафетерий;город москва, город троицк, 39-й километр калужского шоссе, дом 13г;18;39-й километр калужского шоссе;37.317472 55.476352;
8764;вкусная жизнь;нет;ресторан;улица каманина, домовладение 11, строение 2;35;улица каманина;30.348621 53.937992;
8777;школа;нет;столовая;город москва, новопресненский переулок, дом 6;30;новопресненский переулок;37.575316 55.766628;Пресненский район
8789;кафетерий на заправке;нет;кафетерий;город москва, улица сайкина, дом 2;6;улица сайкина;37.665695 55.706639;Даниловский район
8798;кафе «skuratov»;нет;кафе;калашный переулок, дом 8а/5, строение 3;20;калашный переулок;37.601771 55.755282;Пресненский район
8800;crystal;нет;ресторан;город москва, шубинский переулок, дом 2/3;49;шубинский переулок;37.579735 55.746578;район Арбат
8842;набатчиков а.п.;нет;буфет;проектируемый проезд n 5231, дом 8, строение 3;20;проектируемый проезд n 5231;37.433867 55.668056;район Очаково-Матвеевское
8875;школьно-базовая столовая;нет;столовая;полевая улица, дом 20;205;полевая улица;73.186645 55.04825;
8942;чуковский;нет;кафе;город москва, 6-я улица новые сады, дом 2;32;6-я улица новые сады;37.347233 55.652502;район Ново-Переделкино
8955;карлсон и ко;нет;кафе;город москва, поселение внуковское, улица корнея чуковского, дом 5;7;улица корнея чуковского;37.325961 55.637271;
8957;школа;нет;столовая;город москва, причальный проезд, дом 7, строение 1;60;причальный проезд;37.51777 55.759223;Пресненский район
9010;перелетный кабак;нет;кафе;город москва, мансуровский переулок, дом 10, строение 2;40;мансуровский переулок;37.593794 55.740309;район Хамовники
9014;кафе «волконский»;нет;кафе;город москва, переулок маяковского, дом 3;2;переулок маяковского;37.660521 55.739498;Таганский район
9053;арт кафе «new place moscow»;нет;кафе;город москва, площадь журавлёва, дом 2, строение 2;120;площадь журавлёва;37.70231 55.784;район Соколиная Гора
9133;хач хач хачапури ловкач;нет;предприятие быстрого обслуживания;город москва, 1-я чоботовская аллея, дом 6-б;5;1-я чоботовская аллея;37.35415 55.655793;район Ново-Переделкино
9243;kfc;да;предприятие быстрого обслуживания;город москва, каскадная улица, домовладение 21, строение 1;20;каскадная улица;37.872802 55.70706;район Косино-Ухтомский
9294;столешников;нет;кафе;город москва, дмитровский переулок, дом 3, строение 4;46;дмитровский переулок;37.615336 55.7621;Тверской район
9335;буфет;нет;буфет;город москва, прохладная улица, дом 28;0;прохладная улица;37.673187 55.61628;район Бирюлёво Восточное
9366;закусочная «донеретто»;нет;закусочная;город москва, михневский проезд, дом 4, корпус 1;0;михневский проезд;37.66795 55.577495;район Бирюлёво Восточное
9410;tasty joys;нет;кафе;город москва, пестовский переулок, дом 3, строение 1;22;пестовский переулок;37.659218 55.745301;Таганский район
9428;ларам;нет;ресторан;город москва, улица дубки, дом 6;35;улица дубки;37.564913 55.819292;Тимирязевский район
